W1,W2,W3,F
looter,upa,killed,2
page,space,posts,2
ii,government,help,2
gains,gains,regional,2
regional,parties,centrestage,2
gehlot,track,live,2
gm,candidate,marks,2
ahead,marketing,terms,2
jain,candidate,santosh,2
got,interesting,alliance,2
seats,western,congress,2
indian,economy,uphill,2
closer,look,shows,2
heartland,congress,rout,2
delhi,congress,chief,2
manners,maketh,man,2
reliant,confident,trying,2
tonights,sir,worries,2
middle,class,people,2
mlas,camped,resort,2
takes,states,read,2
time,aiming,victory,2
declared,contest,seats,2
loot,money,power,2
didnt,lost,plus,2
rekhchand,jain,candidate,2
madhya,pradesh,sp,2
respects,among,masses,2
mla,yashpal,singh,2
resurgent,raised,pitch,2
pitch,govt,led,2
madhya,pradesh,president,2
alert,congress,tried,2
far,congress,madhya,2
leads,trails,congress,2
option,alone,option,2
lok,seats,delhi,2
fight,dumped,congress,2
towards,clear,majority,2
upcoming,lok,polls,2
sc,ruling,rafale,2
losted,opprtnty,strains,2
telangana,mizoram,spring,2
seats,got,interesting,2
mind,think,einstein,2
parliamentarians,present,today,2
unchanged,mighty,vajpayee,2
rituals,times,wear,2
keep,modi,truthful,2
rajasthan,seats,around,2
gandhi,laid,marker,2
elections,worked,alert,2
together,congress,aap,2
congress,pudhucherry,seat,2
hindi,heartland,pm,2
farm,loan,waiver,2
vadra,partys,general,2
time,defeats,congress’,2
chief,ministerial,face,2
pm,modis,policies,2
asked,election,manifesto,2
give,comission,call,2
congress,hq,delhi,2
slowed,congress,train,2
congress,lose,seats,2
commitment,na,khaunga,2
current,leads,results,2
consensus,within,sp,2
play,crucial,role,2
ajmer,south,defeats,2
congress,farm,late,2
congress,takes,states,2
congress,corrupt,going,2
elections,congress,working,2
slogan,mukt,mukt,2
fact,everyone,support,2
offensive,aggressive,antinational,2
threatening,physical,assault,2
tweet,inform,action,2
win,elections”,congress,2
stop,else,along,2
state,lies,vote,2
sector,increasing,outlay,2
predicting,congress,win,2
antinational,congress,party,2
assessment,loose,seats,2
minister,vasundhara,raje’s,2
vindhyanchal,region,m.p,2
claims,media,conceded,2
seats,telangana,declared,2
favour,congresssp,alliance,2
wali,congress,mahachor,2
nothing,left,parties,2
tired,convincing,congress,2
entry,politics,endorses,2
congress,wins,pappu,2
issued,threeline,whips,2
wins,pappu,pm,2
row,defeats,congress’,2
lose,amethi,seats,2
outgoing,rajasthan,chief,2
feminist,mentality,cost,2
minister,resignation,congress,2
tough,fight,jd(s,2
priyanka’s,entry,politics,2
congress,lost,ethics,2
mlas,party,telling,2
give,views,congress,2
alliance,congress,lose,2
haar,nayi,time,2
desperately,rafale,raga,2
heard,assessment,loose,2
good,day,office,2
using,winning,strategy,2
sartaj,singh,joined,2
plus,states,earlier,2
waste,tax,payers,2
violence,losted,opprtnty,2
exit,polls,predicted,2
court,support,pass,2
calling,journalist,dog,2
india,voting,wins,2
rajasthan,chief,minister,2
facts,training,mind,2
payers,money,opposition,2
nc,congress,focus,2
mizoram,spring,surprise,2
tradition,follow,rituals,2
trying,strike,seat,2
modi,pm,congress,2
congress,workers,across,2
shows,vindhyanchal,region,2
win,perception,war,2
years,years,challenge,2
congress,pdp,nc,2
results,show,congress,2
early,leads,catch,2
congress,candidate,lok,2
congress,chhattisgarh,madhya,2
eastern,congress,cut,2
years,national,polls,2
growing,disillusionment,towards,2
corrupt,congress,vote,2
session,monday,issued,2
moment,congress,advantage,2
states,elections,worked,2
camped,resort,sakranti,2
would,continue,remain,2
worry,would,knows,2
pm,win,elections”,2
repenting,voting,corrupt,2
trinamool,set,command,2
jhunjhunwala,rooting,congress,2
modi,farm,distress,2
fight,jd(s,congress,2
rafale,raga,taken,2
reflects,growing,disillusionment,2
calls,gau,mlas,2
come,strongly,slog,2
threeline,whips,party,2
people,towards,congress,2
sources,seats,aiadmk,2
election,analysis,studio,2
party,lost,everything,2
ask,congress,supporter,2
seat,deal,congress,2
defeat,states,reflects,2
senior,leader,former,2
win,army=nasty,spaniking,2
exmla,join,congress,2
gets,pm,would,2
chaukidar,chor,youth,2
pic,page,captures,2
manage,share,opinion,2
wahh,modi,ji,2
draw,political,mileage,2
analysis,studio,revival,2
secretary,incharge,eastern,2
need,addressed,feels,2
congress,edge,state,2
good,work,done,2
reputation,modi,rss,2
party,emergence,previously,2
planning,field,umesh,2
killed,indian,economy,2
dear,wise,people,2
congress,party,trying,2
ahead,ls,polls,2
gaur,contest,congress,2
task,revive,economy,2
hmm,saying,congress,2
dhar,huge,st,2
unfazed,meet,prepping,2
nayi,time,aiming,2
towards,congress,wouldnt,2
action,taken,urgent,2
stroke,realty,digest,2
call,us,info,2
expected,win,seats,2
clarifies,wont,joining,2
congress,loses,threetime,2
delhi,fancy,platforms,2
congress,left,fighting,2
pradesh,party,seats,2
joins,ahead,ls,2
seats,advantage,seats,2
fighting,together,congress,2
row,contesting,home,2
rival,presently,assam,2
sharing,fight,dumped,2
vasundhara,raje’s,trails,2
should,quit,congress,2
khaunga,na,khane,2
strategy,parties,planning,2
congresssp,alliance,help,2
alliance,going,work,2
arvind,kejriwal,vehement,2
offering,rs,cr,2
wins,congress+,gets,2
love,country,much,2
think,india,voting,2
close,fight,congress,2
think,failed,understand,2
lose,vindictive,vicious,2
tenure,lost,respects,2
huge,applous,govt,2
party,momentum,going,2
term,know,modi,2
congress,lose,amethi,2
versus,faceoff,ahead,2
shedding,crocodile,tears,2
raj,cg,voters,2
former,minister,exmla,2
sitharaman,takes,congress,2
congress,dumped,sp,2
years,rule,people,2
pass,cares,muslims,2
power,crucial,states,2
congress,leading,madhya,2
our,special,election,2
support,congress,keep,2
supremo,odisha,cm,2
chief,congress,part,2
hangover,post,night,2
opinion,poll,results,2
closer,sitching,alliance,2
should,our,next,2
anger,evident”,congress,2
taken,partners,along,2
straight,term,congress,2
loses,threetime,madhya,2
congress,wins,india,2
modi,truthful,commitment,2
congress,outscores,state,2
mood,self,explanatory,2
congress,coverup,party,2
gains,regional,parties,2
performance,good,governance,2
special,election,coverage,2
wont,tell,noncongress,2
gandhi,family,supporters,2
congress,seats,uttar,2
rout,rajasthan&amp;chattisgarh,edge,2
ministers,losing,congress,2
thakur,nishikant,moved,2
candidate,former,union,2
led,stalled,renewing,2
shape,things,come,2
congress,despite,differences,2
singh,sisodiya,challenged,2
ensure,theyll,top,2
heres,exit,polls,2
congress,rajasthan,early,2
madhya,pradesh,threetime,2
mentality,cost,congress,2
seats,manage,share,2
defeat,delhi,delhi,2
studio,revival,path,2
congress,win,end,2
madhyapradesh,moment,congress,2
action,follow,our,2
modi,lok,elections,2
density,rafel,give,2
indulged,corruption,chief,2
poaching,congress,mlas,2
congress,eyeing,years,2
favour,congress,walkout,2
fought,election,making,2
khane,dunga,dear,2
congress,sonia,pvnr,2
threetime,madhya,pradesh,2
lok,seats,jammu,2
going,vote,pm,2
money,power,ppl,2
congress,wouldnt,hung,2
delhi,aap,defeat,2
wave,modi,wave,2
know,modi,parasites,2
promote,dynasty,priyanka’s,2
going,hurt,grand,2
sensing,defeat,upcoming,2
cg,voters,already,2
money,sector,increasing,2
spoil,reputation,modi,2
opportunistic,feminist,mentality,2
spaniking,hangover,post,2
election,congress,despite,2
resignation,congress,clear,2
congress,reserved,category,2
realty,digest,congress,2
grand,party,happens,2
really,wanna,give,2
rajasthan&amp;chattisgarh,edge,past,2
announced,alliance,likely,2
challenged,congress’,narendra,2
understand,truth,reality,2
crucial,seat,time,2
media,conceded,much,2
mp,years,rule,2
things,come,should,2
political,dp,maker,2
trumps,heartland,states,2
gau,mlas,camped,2
official,handle,starts,2
congress,vote,elections,2
farm,distress,issues,2
ani,images,deserted,2
congress,president,appointed,2
congress,pledge,onetime,2
congress,train,power,2
congress,stay,single,2
family,supporters,cool,2
namo,stroke,realty,2
campaign,name,kisan”,2
joining,aim,win,2
could,find,common,2
ss,challenging,late,2
keep,mayawati,read,2
heading,towards,clear,2
congress,trolling,guess,2
state,fastest,updates,2
would,mamata,state,2
leader,feels,party,2
nr,congress,pudhucherry,2
supporters,across,country,2
hindi,heartland,states,2
self,reliant,confident,2
mp,kirti,azad,2
anti,congress,anti,2
neck,predicting,congress,2
anita,wins,ajmer,2
congress,keep,keep,2
opposition,consideration,haven’t,2
president,pm,candidate,2
modi,congress,sonia,2
ki,haar,nayi,2
congress,merge,coming,2
posts,page,space,2
congress,standing,parliament,2
sorry,correct,tweet,2
everything,congress,done,2
despite,differences,know,2
contesting,home,turf,2
attacks,happening,often,2
joining,hands,congress,2
congress,denied,ticket,2
stay,single,largest,2
aiming,victory,central,2
faceoff,retains,fourth,2
army=nasty,spaniking,hangover,2
role,congress,indian,2
already,repenting,voting,2
shoot,lie,scoot,2
find,common,candidate,2
dogfight,mps,continued,2
convincing,congress,form,2
cm,warns,congress,2
rss,done,mistake,2
votes,remained,unchanged,2
got,offer,contest,2
spokesperson,offensive,aggressive,2
people’s,anger,evident”,2
stand,totally,anti,2
confuse,twist,turn,2
supporters,cool,supporters,2
wrests,states,hindi,2
madhya,pradesh,keep,2
expects,win,seats,2
parties,asked,election,2
hurt,lok,polls,2
lok,elections,congress,2
uses,school,jour…,2
vote,next,election,2
congress,cut,deeper,2
congress,leader,ashok,2
results,seats,madhya,2
presence,fifteen,lok,2
campaign,hollow,pledge,2
congress+,gets,gets,2
party,parliamentarians,present,2
elections,chief,minister,2
pradesh,threetime,chief,2
mistake,modi,congress,2
selective,congress,gandhi,2
down”,writer,commentator,2
congress,anti,national,2
overs,playing,waiting,2
interesting,alliance,congress,2
pradesh,congress,overtaken,2
rahul,gandhi,lok,2
fall,short,majority,2
modi,govt,passes,2
late,money,sector,2
event,ravi,shankar,2
alliance,likely,formalise,2
early,predictions,rajasthan,2
keep,tieup,though,2
drama,lok,rahul,2
state,polls,rahul,2
show,congress,set,2
winning,strategy,parties,2
mukt,lighter,vein,2
challenging,late,night,2
elections,quiet,win,2
captures,space,posts,2
dynasty,priyanka’s,entry,2
follow,rituals,times,2
political,stand,totally,2
veteran,claims,got,2
partys,general,secretary,2
leader,joins,congress,2
everyone,support,congress,2
vikas,history,honored,2
coined,slogan,mukt,2
trolling,guess,power,2
our,report,tough,2
touch,leaders,planning,2
congress,form,alliance,2
makes,analysis,whos,2
party,trying,win,2
rajasthan,chhattisgarh,congress,2
seat,announcement,expected,2
hits,congress,opposition,2
follow,track,live,2
led,passes,court,2
congress,janata,party,2
rooting,congress,hear,2
smart,politics,leverage,2
claims,coined,slogan,2
sisodiya,challenged,congress’,2
post,night,wonder,2
alliance,understand,alliance,2
accused,ruling,dispensation,2
dont,suffer,fools,2
couldnt,last,year…,2
hindi,heartland,congress,2
evm,hackathon,london,2
mps,sanjay,jaiswal,2
mukt,mukt,lighter,2
gets,gets,follow,2
actually,eastern,congress,2
president,rahul,gandhi,2
twotime,chief,minister,2
outscores,state,polls,2
youth,ko,wali,2
whos,likely,win,2
pls,give,views,2
endorses,end,road,2
worries,dhar,huge,2
topple,karnataka,government,2
chhattisgarh,madhya,pradesh,2
sanjay,jaiswal,anurag,2
mood,among,voters,2
party,would,continue,2
appointed,sister,priyanka,2
theyll,top,congress,2
day,virtually,left,2
remained,unchanged,mighty,2
congress,desperately,rafale,2
kejriwal,vehement,alliance,2
disappoint,loosing,states,2
clarify,political,stand,2
st,population,congress,2
na,khaunga,na,2
revival,path,going,2
politically,charged,year,2
congress,walkout,de…,2
joins,congress,presence,2
media,gathers,congress,2
congress,part,uttar,2
screens,hq,swanky,2
ppl,ppl,good,2
pardon,handwriting,congress,2
gandhi,congress,come,2
urgent,enquiry,needed,2
win,states,hindi,2
congress,opposition,evms,2
priyanka,vadra,partys,2
want,spokesperson,offensive,2
everything,everywhere,ki,2
late,night,tf,2
party,makes,offer,2
crucial,states,rajasthan,2
know,candidate,sitting,2
assam,politically,polarising,2
work,favour,congresssp,2
taken,urgent,enquiry,2
means,dynasty,scam,2
india,corruption,congress,2
electionrelated,news,follow,2
woke,early,predictions,2
slog,overs,playing,2
mandate,pm,congress,2
rahul,gandhi,laid,2
political,parties,alliance,2
pappu,pose,show,2
issues,need,addressed,2
seats,jammu,kashmir,2
chief,minister,narayansamy,2
within,sp,keep,2
party,alternative,writes,2
congress,leading,states,2
sitting,mla,yashpal,2
gets,follow,live,2
lost,plus,states,2
starts,marketing,promoting,2
congress,rout,rajasthan&amp;chattisgarh,2
congress,asked,seats,2
ahead,lok,polls,2
much,dont,suffer,2
sponsored,event,ravi,2
contest,polls,seat,2
virtually,left,part,2
conceded,much,congress,2
journalist,dog,threatening,2
congress,treat,jd,2
congress,indian,election,2
everywhere,ki,haar,2
dont,lightly,use,2
lok,rahul,threatens,2
fight,election,congress,2
mighty,vajpayee,fall,2
govt,passing,favour,2
party,telling,truth,2
day,announced,alliance,2
partners,along,congress,2
pradesh,keep,mayawati,2
singh,joined,congress,2
congress,delhi,aap,2
rs,cr,congress,2
lok,rafale,deal,2
wouldnt,hung,government,2
called,majority,party,2
tell,noncongress,parties,2
ki,chaukidar,chor,2
economy,uphill,task,2
victorious,polls,pradeep,2
states,current,leads,2
learning,facts,training,2
handwriting,congress,winning,2
threw,everything,congress,2
ruling,trinamool,congress,2
congress,dearly,elections,2
let,clarify,political,2
congress,govt,ac…,2
sp,cornered,fight,2
yet,stormy,session,2
patnaik,party,would,2
vasundhara,raje,retains,2
congress,winning,seats,2
raje,retains,crucial,2
congress,aap,stop,2
vehement,alliance,congress,2
impunity,watch,learn,2
chhattisgarh,congress,rahul,2
feels,party,march,2
difficult,pm,win,2
passing,favour,congress,2
media,delhi,terms,2
saying,congress,lose,2
due,corrupt,leaders,2
political,party,momentum,2
parliament,looks,set,2
mahachor,regime,ki,2
retains,fourth,time,2
surjewala,should,quit,2
money,opposition,loot,2
advantage,seats,advantage,2
defeats,congress,hemant,2
congress,means,dynasty,2
largest,party,state,2
semifinal,next,years,2
pack,coming,ls,2
alliance,congress,left,2
past,mp,telangana,2
taken,opposition,consideration,2
scam,suppression,hindus,2
visited,offered,contest,2
contest,congress,candidate,2
dumped,sp,cornered,2
march,lesser,seats,2
hackathon,london,congress,2
seats,aiadmk,seats,2
ethics,political,party,2
congress,naveen,patnaik,2
likely,formalise,partnership,2
kickstarted,campaign,hollow,2
win,seats,western,2
government,hospital,modi’s,2
joint,parliamentary,committee,2
issue,whip,mps,2
handle,starts,marketing,2
politics,leverage,jds,2
kashmir,congress,pdp,2
dont,let,support,2
congress,madhya,prade…,2
amid,dogfight,mps,2
congress,indulged,corruption,2
year,check,dramatic,2
trails,congress,track,2
congress,got,lakh,2
voters,already,repenting,2
training,mind,think,2
polarising,almost,nothing,2
lightly,use,right,2
truthful,commitment,na,2
fighting,pdp,via,2
close,madhya,pradesh,2
fancy,platforms,screens,2
shows,improvement,ruling,2
karnataka,minister,alleges,2
jd,third,grade,2
pudhucherry,seat,announcement,2
alliance,hurt,lok,2
uphill,task,revive,2
wanna,give,term,2
pm,would,mamata,2
pdp,via,versa,2
mp,clarifies,wont,2
opposition,friday,eyeing,2
command,pack,coming,2
difference,nota,ur,2
friday,eyeing,northeastern,2
lets,work,hard,2
arch,rival,presently,2
larger,consensus,within,2
improvement,ruling,trinamool,2
elections,impact,find,2
towards,party,emergence,2
totally,anti,congress,2
survey,makes,analysis,2
going,down”,writer,2
earlier,congress,asked,2
merge,coming,days,2
randeep,surjewala,should,2
polls,rahul,gandhi,2
close,seats,madhyapradesh,2
should,pm,candidate,2
catch,action,follow,2
train,power,region,2
suffer,ask,congress,2
opposition,parties,com…,2
congress,votes,remained,2
dynasty,scam,suppression,2
countries,dont,practice,2
threetime,chief,minister,2
haven’t,taken,partners,2
accept,peoples,mandate,2
voting,corrupt,congress,2
passes,court,support,2
our,special,coverage,2
state,congress,president,2
learn,could,happen,2
lesser,seats,ruling,2
deal,congress,lok,2
strike,seat,deal,2
aap,defeat,delhi,2
intvw,elections,quiet,2
pradesh,congress,rajasthan,2
lost,ethics,political,2
truth,reality,vikas,2
aiadmk,seats,nr,2
corrupt,leaders,foolish,2
polls,pradeep,gupta,2
asked,seats,admk,2
predicted,seats,congress,2
chief,apologises,calling,2
partys,official,handle,2
congress,sponsored,event,2
others,wave,effects,2
pradesh,congress,taken,2
face,challenge,stop,2
lok,seat,congress,2
chief,minister,resignation,2
elections”,congress,president,2
political,mileage,upcoming,2
plotted,draw,political,2
failed,understand,truth,2
continued,today,people’s,2
supporter,support,support,2
congress,heading,towards,2
seats,sharing,fight,2
surprise,congress,win,2
check,dramatic,events,2
keep,keep,modi,2
applous,govt,passing,2
loosing,states,didnt,2
lok,constituency,party,2
rafale,falsehood,eed,2
candidate,rekhchand,jain,2
union,minister,sartaj,2
mana,ki,chaukidar,2
monday,issued,threeline,2
lie,scoot,spoil,2
region,m.p,slowed,2
looks,set,yet,2
common,candidate,jd(s,2
should,lose,vindictive,2
solved,congress,party,2
inform,action,taken,2
doesnt,ensure,theyll,2
disgusting,attacks,happening,2
candidate,santosh,votes,2
spring,surprise,congress,2
today,face,challenge,2
national,parties,congress,2
day,office,congress,2
congress,ad,dynasty,2
leads,polls,conquer,2
rakesh,jhunjhunwala,rooting,2
ruling,rafale,falsehood,2
face,fourth,time,2
hemant,track,live,2
look,shows,vindhyanchal,2
states,votes,counted,2
watch,learn,could,2
referendum,modi,farm,2
terms,aiadmk,pmk,2
former,mp,kirti,2
rahul,threatens,play,2
congress,led,campaign,2
fools,suffer,ask,2
led,campaign,name,2
faceoff,congress,loses,2
nishikant,moved,privilege,2
set,lose,power,2
declared,congress,wins,2
next,years,national,2
coming,ls,election,2
worked,alert,congress,2
government,help,allies,2
single,largest,party,2
sp,keep,tieup,2
ko,wali,congress,2
congress,part,sp,2
candidate,sitting,mla,2
space,posts,page,2
seats,madhyapradesh,moment,2
minister,exmla,join,2
without,congress,seats,2
modis,policies,centre,2
farm,late,money,2
politically,polarising,almost,2
call,supporters,sachin,2
corruption,chief,congress,2
playing,waiting,game,2
congress,candidate,rekhchand,2
home,turf,congress,2
congress,wind,use,2
counting,votes,elect,2
think,fighting,together,2
pmk,alliance,sinking,2
partnership,upcoming,mk,2
western,congress,merge,2
use,right,rightly,2
masses,due,corrupt,2
cut,deeper,votes,2
states,earlier,our,2
keeps,national,parties,2
sticking,neck,predicting,2
hollow,pledge,waive,2
guess,power,hike,2
counted,semifinal,next,2
dmk,respectively,though,2
weird,smart,politics,2
quiet,win,army=nasty,2
telangana,declared,trs,2
opposition,loot,money,2
congress,taken,huge,2
seal,deal,seats,2
peoples,mandate,pm,2
rafel,give,comission,2
name,kisan”,whereas,2
raje’s,trails,congress,2
wins,india,corruption’,2
disillusionment,towards,party,2
south,defeats,congress,2
prime,minister,kickstarted,2
office,raipur,leads,2
